blockNumber	confirmations	Month	Day	Hour	mean_value_received	variance_value_received	total_received	time_diff_first_last_received	total_tx_sent	total_tx_sent_malicious	total_tx_sent_unique	total_tx_sent_malicious_unique	total_tx_received_malicious_unique	Fraud
19664511	201879	4	16	0	0.1751904075	0.0519971092909851	0.7007616300000001	246.45916666666668	43.0	0.0	6.0	0.0	0.0	0
16217669	3648727	12	19	8	0.0842392024381043	0.0344684110324226	13.394033187658586	625.4894328703704	62.0	0.0	1.0	0.0	0.0	0
14351953	5514270	3	9	10	3.896735904391325	101.819167885204	467.608308526959	1884.80613425926	552.0	0.0	251.0	0.0	0.0	0
19753020	113094	4	28	9	0.1355401416682591	0.0043894645704178	1.4909415583508507	225.1555555555556	59.0	0.0	33.0	0.0	0.0	0
19076055	790248	1	24	10	0.2357174086643617	0.1490361968081223	43.372003194242566	937.6813773148148	423.0	0.0	97.0	0.0	0.0	0
11530191	8336003	12	26	15	23.77582758652377	1991.5820520259515	6966.317482851466	2512.633460648148	522.0	0.0	115.0	0.0	0.0	0
18817741	1048774	12	19	4	0.2172592705960731	0.204874153813467	8.25585228265078	1139.8634722222223	147.0	0.0	19.0	0.0	0.0	0
18637845	1228302	11	23	23	0.3018457269565976	0.1435643827097255	13.884903440003493	907.028136574074	918.0	0.0	36.0	0.0	0.0	0
19068121	797945	1	23	8	0.0	0.0	0.0	0.0	2.0	0.0	1.0	0.0	0.0	0
12189510	7676543	4	7	0	0.0	0.0	0.0	0.0	694.0	498.0	360.0	268.0	0.0	0
13420928	6445336	10	15	6	0.0	0.0	0.0	0.0	77.0	0.0	25.0	0.0	0.0	0
9617111	10249071	3	6	10	0.1454830691736896	0.0504576411497343	48.15489589649126	2151.922928240741	904.0	0.0	529.0	0.0	0.0	0
17360245	2506017	5	28	21	0.2091568057916606	0.0326432000857109	8.784585843249749	361.2138888888889	568.0	0.0	14.0	0.0	0.0	0
13507409	6358691	10	28	18	0.5847607156555114	0.6086457173848432	22.805667910564942	305.0430787037037	223.0	0.0	48.0	0.0	0.0	0
15354303	4511755	8	16	19	2.9001367447472868	18.355482534114923	55.102598150198446	971.7751157407408	180.0	0.0	92.0	0.0	0.0	0
18974493	891720	1	10	5	0.0	0.0	0.0	0.0	10.0	0.0	1.0	0.0	0.0	0
19401054	465154	3	10	0	0.3898133487183745	1.1718036553473816	11.30458711283286	1129.8558333333333	44.0	0.0	18.0	0.0	0.0	0
19443516	423018	3	15	23	0.0	0.0	0.0	0.0	2.0	0.0	1.0	0.0	0.0	0
11547644	8318485	12	29	7	0.0	0.0	0.0	0.0	4153.0	0.0	1.0	0.0	0.0	0
10488574	9377608	7	19	7	0.1454830691736896	0.0504576411497343	48.15489589649126	2151.922928240741	904.0	0.0	529.0	0.0	0.0	0
10721477	9144836	8	24	6	10.124387636174072	210.1253799333253	718.8315221683591	2124.068599537037	388.0	0.0	124.0	0.0	0.0	0
19702731	163795	4	21	8	3.684420045201565	0.0	3.684420045201565	0.0	2.0	0.0	2.0	0.0	0.0	0
17099707	2766496	4	22	5	0.127776700076554	0.1030145958371101	133.3988748799224	905.2295949074074	2160.0	0.0	428.0	0.0	0.0	0
18878307	988017	12	27	16	0.0961815904759543	0.0036365668996562	28.75829555231036	887.7995023148148	1359.0	0.0	49.0	0.0	0.0	0
15319698	4546577	8	11	8	0.0	0.0	0.0	0.0	1410.0	0.0	650.0	0.0	0.0	0
19748690	117791	4	27	19	0.15398205	0.0026945278331231	0.9238923	55.992916666666666	7.0	0.0	2.0	0.0	0.0	0
11408343	8458117	12	7	22	1.6405973832796794	7.762757014961372	36.09314243215295	1178.9876736111112	72.0	0.0	21.0	0.0	0.0	0
19594020	272335	4	6	3	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0
13938489	5927787	1	4	10	0.0	0.0	0.0	0.0	3.0	0.0	1.0	0.0	0.0	0
17730573	2135938	7	19	23	1.8183965098008947	15.012856755331166	4995.135212423058	59.23111111111111	4845.0	0.0	1689.0	0.0	0.0	0
19478485	387634	3	20	21	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0
16530917	3335471	2	1	2	0.49419249	0.0	0.49419249	0.0	9996.0	0.0	682.0	0.0	0.0	0
9979776	9886406	5	1	10	0.1454830691736896	0.0504576411497343	48.15489589649126	2151.922928240741	904.0	0.0	529.0	0.0	0.0	0
19831095	35295	5	9	7	0.0208419110861938	0.000101644369075	0.125051466517163	125.48375	96.0	0.0	1.0	0.0	0.0	0
9218949	10647144	1	5	7	6.806940298507462	111.2077704206242	456.065	284.73384259259257	205.0	0.0	87.0	0.0	0.0	0
3878028	15988166	6	15	18	23.77582758652377	1991.5820520259515	6966.317482851466	2512.633460648148	522.0	0.0	115.0	0.0	0.0	0
17749676	2116624	7	22	15	0.0072724943298097	2.7371518167779656e-05	0.050907460308668	375.6851388888889	8.0	0.0	1.0	0.0	0.0	0
18192196	1673917	9	22	15	0.1028545564048834	0.0036294837906329	12.342546768586017	231.5540277777777	120.0	0.0	4.0	0.0	0.0	0
19710065	156175	4	22	9	0.0972933354654972	0.0042129628849079	41.25237423737083	1242.7819328703704	291.0	0.0	32.0	0.0	0.0	0
17127807	2738393	4	26	3	0.4017724208774283	0.2881595530829201	41.78433177125255	375.75055555555554	310.0	0.0	16.0	0.0	0.0	0
13130707	6735816	8	31	2	1.7828888888888887	4.220806861111113	16.046	839.5387847222222	10.0	0.0	1.0	0.0	0.0	0
18024503	1841738	8	30	2	0.2438593923419018	0.65688264095427	168.75069950059606	419.5820833333333	631.0	0.0	214.0	0.0	0.0	0
13830800	6035539	12	18	18	2.1518259866418994	24.062928518166583	518.5900627806977	1013.610625	504.0	0.0	128.0	0.0	0.0	0
15370852	4495322	8	19	10	0.0	0.0	0.0	0.0	2.0	0.0	1.0	0.0	0.0	0
16503278	3362938	1	28	5	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0
19037578	828911	1	19	1	0.0	0.0	0.0	0.0	49.0	0.0	1.0	0.0	0.0	0
15426965	4439340	8	28	9	0.379984784111635	1.6107964584119807	125.01499397272792	2254.177025462963	2151.0	0.0	346.0	0.0	0.0	0
16145902	3720374	12	9	8	1.062830306390487	42.00427633500852	87.15208512401993	1364.7731597222223	273.0	0.0	13.0	0.0	0.0	0
14249173	5617159	2	21	11	0.7296204012709111	1.7136283285878793	48.884566885151045	1068.251261574074	338.0	0.0	162.0	0.0	0.0	0
19022849	843235	1	16	23	0.0	0.0	0.0	0.0	95.0	0.0	65.0	0.0	0.0	0
19694318	172200	4	20	4	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0
17061288	2805003	4	16	18	0.0838328292008289	0.0186202288933322	4.778471264447251	535.6497222222222	31.0	0.0	7.0	0.0	0.0	0
16900268	2965902	3	24	22	0.3331705195234467	1.7483839794460918	9.9951155857034	1538.1644444444444	91.0	0.0	45.0	0.0	0.0	0
